date_applied,company,role,location,key_skills_required,resume_type,status,referral_requested,referral_name,notes
2025-11-16,IBM,Software Developer Intern - EDA,Remote,"C++, Java, Python, Algorithms, AI/ML, Testing, Linux",algorithms,Applied,No,,Focus on algorithms and testing discipline. Lead with Calendly project.
2025-11-16,IBM,Backend Developer Intern - Cost Optimization,Remote,"Python, Java, Go, REST APIs, Databases, Cloud, CI/CD, Agile",backend,Applied,No,,Backend focus. Different team than EDA. Lead with Maritime + LSEG experience. 9/10 fit - better match than EDA.
2025-11-16,Skild AI,Machine Learning Intern - Reinforcement Learning,Pittsburgh PA,"Python, C++, PyTorch, Reinforcement Learning, Robotics, Real-time Systems",ml,Applied,No,,Perfect RL match. Lead with Dino RL project. 9/10 fit score.
2025-11-16,Intuit,AI Science Intern,Mountain View CA,"Python, ML, Deep Learning, Data Analysis, Spark, Hadoop, Statistical Modeling",ml,Applied,No,,Data science focus. Includes Face Recognition and PUBG Data Analysis. 8/10 fit.
2025-11-16,IBM Research,AI Platforms Intern,Remote,"Python, Go, PyTorch, Kubernetes, Docker, LLM/ML Infrastructure",backend,Applied,No,,AI platform development. Lead with Orion Platform. 9.5/10 fit score - excellent match.
2025-11-16,SeatGeek,Backend/Platform Engineering Intern,New York NY,"Python, Go, AWS, Docker, Kubernetes, Microservices, Marketplace",backend,Applied,No,,Backend + Platform track. Emphasize Maritime multi-sided marketplace. 8.5/10 fit.
2025-11-16,Dassault Systèmes,AI Software Engineer Intern,Johnston RI,"TypeScript, JavaScript, Java, React, Redux, LLM/NLP, Testing, REST APIs",general,Applied,No,,Frontend-heavy with LLM integration. Lead with Calendly for testing. 7/10 fit.
2025-11-16,Cohere,Software Engineering Intern,Remote,"Python, Go, ML Infrastructure, APIs, Data Pipelines, Kubernetes, PyTorch",backend,Applied,No,,ML infrastructure focus. Orion for platform + Dino for ML pipelines. 9/10 fit.
2025-11-16,Whatnot,Software Engineering Intern,NYC/LA/SF/Seattle,"Python, Go, Marketplace Systems, Distributed Systems, Trust & Safety",backend,Applied,No,,Marketplace platform. Lead with Maritime Logistics multi-sided marketplace. 8/10 fit.
2025-11-16,Docusign,Software Engineer Intern - IAM Automation,Seattle/SF/NYC,"Python, Go, Terraform, IaC, Azure, GCP, RBAC, Automation, PowerShell",backend,Applied,No,,Infrastructure automation + IAM. Lead with Orion Platform. 7.5/10 fit.
2025-11-16,Domino Data Lab,Software Engineer Intern,Remote,"Python, Go, TypeScript, React, Kubernetes, MLOps, Full-stack, GraphQL",backend,Applied,No,,MLOps platform. Lead with Orion + Dino for ML infrastructure. 9/10 fit - excellent match.
2025-11-16,Nuro,Software Engineering Intern - ML Infrastructure,Remote,"Python, C++, Go, PyTorch, Kubernetes, Distributed Systems, Performance Optimization",backend,Applied,No,,Self-driving ML infrastructure. Multiple tracks available. Lead with Orion + Dino. 8.5/10 fit.
2025-11-16,Netradyne,AI Research Intern - Computer Vision,Remote,"Python, PyTorch, TensorFlow, OpenCV, Computer Vision, Deep Learning, Edge AI",ml,Applied,No,,CV + Edge AI focus. Visa concern - no sponsorship. Lead with Dino + Face Recognition. 7.5/10 fit (3% callback due to visa).
2025-11-16,Inflection AI,Technical Intern - ML Engineering,Palo Alto CA,"Python, PyTorch, ML Engineering, AI Systems, Infrastructure, LLMs",ml,Applied,No,,Frontier AI development. Lead with Dino + Orion for ML infra. 8/10 fit.
2025-11-16,ModMed,Applied ML Engineering Intern,Boca Raton FL,"Java, Python, Spring, AWS, ML Engineering, Docker, Kubernetes, SQL, Kafka",backend,Applied,No,,Healthcare tech. Java + AWS focus. Lead with Calendly (Java) + LSEG experience. 8/10 fit. Deadline: Nov 25.
2025-11-16,Metronome,Software Engineering Intern,San Francisco CA,"TypeScript, Python, Backend, APIs, Billing Systems, Full-stack, Data Pipelines",backend,Applied,No,,Usage-based billing platform. First intern cohort. Lead with Maritime (billing/transactions). 8.5/10 fit.
2025-11-16,SLB,Technology Intern - Backend Software Engineer,Various,"Python, Java, Go, Backend, Distributed Systems, Cloud, Data Engineering",backend,Applied,No,,Oil/gas industry. Backend track. Lead with Maritime + LSEG backend experience. 7/10 fit.
2025-11-16,Qumulo,Software Engineering Intern - Storage Systems,Seattle,"C++, Go, Rust, Python, Distributed Systems, Concurrent Programming, Storage",backend,Applied,No,,Storage systems. Systems programming focus. Lead with Orion (Go) + distributed systems. 7/10 fit.
2025-11-16,C3 AI,Software Engineer Intern - Enterprise AI,Redwood City CA,"Java, JavaScript, Python, OOP, AI Applications, Enterprise Software",backend,Applied,No,,Enterprise AI apps. Lead with Calendly (Java OOP) + Dino (AI). 8/10 fit. Strong Java focus.
2025-11-16,Intuit,Software Engineer Intern - Backend,Mountain View/San Diego/NY/Atlanta,"Java, Python, Node.js, REST APIs, MySQL, Spring/Django, OOP, Agile",backend,Applied,No,,Different from AI Science role. Backend web apps focus. Lead with Calendly (Java) + Maritime (Django). 9/10 fit - excellent match!
2025-11-20,Hometap,Full Stack Engineering Co-op,Boston MA,"Python, Django, React, AWS, JavaScript, TypeScript, MySQL, REST APIs, Git, Agile",fullstack,Ready,No,,Fintech + regulated environment. 3 openings. 8-month co-op. Perfect LSEG compliance match. 9.5/10 fit. Deadline: Dec 4.
2025-11-20,Annaly Capital Management,Application Development Co-Op,New York NY,"Python/Flask, C#/.NET, React/Redux, SQL Server, JavaScript, Docker, Kubernetes",fullstack,Ready,No,,Mortgage REIT. Financial systems (portfolio/trading/risk/accounting). Stream 1 (C#) + Stream 2 (Python/React) both covered. 8.5/10 fit. Deadline: Dec 31.
2025-11-20,Medlaunch Concepts,Backend Developer Intern,Unknown,"Backend, Python, APIs (assumed)",backend,Phone Screen,No,,Screening call scheduled for Saturday Nov 23 at 3PM with Robert. Basic backend role.
2025-11-20,Tesla,Software Engineer - Core Infrastructure AI,Palo Alto CA,"Python, Go, Kubernetes, PyTorch, AI Agents, Distributed Systems, Linux, PostgreSQL, Redis, CI/CD",ai_infrastructure,Applied,No,,AI agentic workflows for Robotaxi/Optimus. Perfect match for LMARO + Orion + Dino. 9.5/10 fit. Job ID: 250320. $100-150K annual.
